SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Median Home Price
105,Clear Lake,neighborhood,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,"$317,412"
106,Southeast Colorado Springs,neighborhood,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,"$330,605"
107,Northeast,neighborhood,TX,TX,El Paso,"El Paso, TX",El Paso County,"$200,862"
108,Laveen,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$426,239"
109,Woodhaven,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$727,186"
110,Princess Anne,neighborhood,VA,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,"$523,059"
111,Northeast Raleigh,neighborhood,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,"$334,339"
112,Hickory Ridge-South Riverdale,neighborhood,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,"$172,431"
113,East Colorado Springs,neighborhood,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,"$387,979"
114,Mclane,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$362,485"
115,Northeast Colorado Springs,neighborhood,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,"$438,299"
117,Woodside,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$577,153"
118,Queens Village,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$757,218"
119,Central Colorado Springs,neighborhood,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,"$361,694"
120,Fordham,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,"$425,044"
121,Panorama City,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$682,053"
122,Estrella,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$368,421"
123,St. Albans,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$720,528"
124,Midtown,neighborhood,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,"$129,965"
125,Lincoln Park,neighborhood,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,"$624,963"
126,Pleasure Ridge Park,neighborhood,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,"$217,803"
127,West,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$401,225"
128,Hamilton Heights,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,"$554,406"
129,Woodward Park,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$514,532"
130,Wakefield,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,"$624,403"
131,Valley Glen,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$983,884"
132,Okolona,neighborhood,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,"$221,784"
133,Greater Fondren Southwest,neighborhood,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,"$232,727"
134,Hoover,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$358,079"
135,North Hills,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$846,283"
136,Raleigh,neighborhood,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,"$150,415"
137,Central City,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$602,588"
138,Kempsville,neighborhood,VA,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,"$346,598"
139,Jeffersontown,neighborhood,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,"$310,298"
140,Parkway,neighborhood,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,"$389,818"
141,Central City,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$329,292"
142,Desert View,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$728,793"
144,Hell's Kitchen,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,"$938,641"
145,Northside-Northline,neighborhood,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,"$197,123"
146,Sun Valley,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$809,442"
147,Fairgrounds,neighborhood,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,"$943,158"
148,South Whittier,neighborhood,CA,CA,Whittier,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$770,481"
150,Encanto,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$430,105"
151,Tremont,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,"$469,988"
152,Flagami,neighborhood,FL,FL,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,"$445,141"
153,Lone Mountain,neighborhood,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,"$445,137"
154,Fresno High Roeding,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$306,247"
155,South Austin,neighborhood,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,"$215,089"
156,Westwood,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$1,319,740"
157,Summerlin North,neighborhood,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,"$636,290"
158,Mott Haven,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,"$771,399"
159,Greater Uptown,neighborhood,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,"$398,657"
160,Oxford Circle,neighborhood,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,"$231,858"
161,Briargate,neighborhood,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,"$574,513"
162,Cordova-Appling,neighborhood,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,"$258,449"
163,Wilmington,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$675,873"
163,Woodlake - Briarmeadow,neighborhood,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,"$247,547"
165,Canoga Park,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$748,287"
166,Maspeth,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$877,615"
167,Irving Park,neighborhood,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,"$428,121"
168,The Heights,neighborhood,NJ,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,"$749,194"
